Time Series Search Export,Search term,Search filters,,Last update of Effective exchange rates data,Downloaded at,Source,Source URL,Download URL,About Effective exchange rates
,,,,2024-11-28,2024-12-04 03:46 CET,BIS,"https://data.bis.org/topics/EER/BIS,WS_EER,1.0/M.N.B.JP?","https://data.bis.org/topics/EER/BIS,WS_EER,1.0/M.N.B.JP?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/EER

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,EER_TYPE:Type,EER_BASKET:Basket,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-01-31,F:Free,,A:Normal value,82.05
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-02-28,F:Free,,A:Normal value,86.29
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-03-31,F:Free,,A:Normal value,87.27
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-04-30,F:Free,,A:Normal value,89.21
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-05-31,F:Free,,A:Normal value,88.65
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-06-30,F:Free,,A:Normal value,89.49
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-07-31,F:Free,,A:Normal value,92.47
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-08-31,F:Free,,A:Normal value,91.07
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-09-30,F:Free,,A:Normal value,91.63
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-10-31,F:Free,,A:Normal value,91.56
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-11-30,F:Free,,A:Normal value,92.25
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-12-31,F:Free,,A:Normal value,90.94
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-01-31,F:Free,,A:Normal value,91.33
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-02-28,F:Free,,A:Normal value,92.58
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-03-31,F:Free,,A:Normal value,99.49
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-04-30,F:Free,,A:Normal value,106.54
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-05-31,F:Free,,A:Normal value,105.31
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-06-30,F:Free,,A:Normal value,105.67
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-07-31,F:Free,,A:Normal value,102.27
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-08-31,F:Free,,A:Normal value,95.33
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-09-30,F:Free,,A:Normal value,90.27
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-10-31,F:Free,,A:Normal value,89.42
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-11-30,F:Free,,A:Normal value,88.71
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-12-31,F:Free,,A:Normal value,89.21
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-01-31,F:Free,,A:Normal value,86.35
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-02-29,F:Free,,A:Normal value,86.41
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-03-31,F:Free,,A:Normal value,86.28
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-04-30,F:Free,,A:Normal value,85.41
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-05-31,F:Free,,A:Normal value,86.45
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-06-30,F:Free,,A:Normal value,84.53
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-07-31,F:Free,,A:Normal value,84.1
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-08-31,F:Free,,A:Normal value,85.04
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-09-30,F:Free,,A:Normal value,83.71
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-10-31,F:Free,,A:Normal value,82.04
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-11-30,F:Free,,A:Normal value,81.81
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-12-31,F:Free,,A:Normal value,81.19
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1997-01-31,F:Free,,A:Normal value,79.05
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1997-02-28,F:Free,,A:Normal value,76.7
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1997-03-31,F:Free,,A:Normal value,77.33
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1997-04-30,F:Free,,A:Normal value,75.7
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1997-05-31,F:Free,,A:Normal value,80.06
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1997-06-30,F:Free,,A:Normal value,83.22
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1997-07-31,F:Free,,A:Normal value,83.85
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1997-08-31,F:Free,,A:Normal value,83.37
